"site" "date" "period" "season" "Albulichthys.albuloides" "Amblyrhynchichthys.truncatus" "Anabas.testudineus" "Barbonymus.altus" "Barbonymus.gonionotus" "Belodontichthys.truncatus" "Boesemania.microlepis" "Channa.micropeltes" "Channa.striata" "Chitala.ornata" "Cirrhinus.microlepis" "Clarias.batrachus" "Clarias.macrocephalus" "Clarias.meladerma" "Coilia.macrognathos" "Cosmochilus.harmandi" "Cyclocheilichthys.armatus" "Cyclocheilichthys.enoplos" "Cyclocheilichthys.repasson" "Cyclocheilos.furcatus" "Cynoglossus.microlepis" "Gyrinocheilus.pennocki" "Hampala.dispar" "Hampala.macrolepidota" "Hemibagrus.spilopterus" "Henicorhynchus.lobatus" "Henicorhynchus.siamensis" "Hypsibarbus.lagleri" "Labeo.chrysophekadion" "Labeo.dyocheilus" "Labiobarbus.leptocheilus" "Labiobarbus.lineatus" "Labiobarbus.siamensis" "Leptobarbus.hoevenii" "Luciosoma.bleekeri" "Lycothrissa.crocodilus" "Macrognathus.siamensis" "Mystus.albolineatus" "Mystus.atrifasciatus" "Mystus.bocourti" "Mystus.mysticetus" "Mystus.singaringan" "Notopterus.notopterus" "Ompok.bimaculatus" "Osteochilus.melanopleurus" "Osteochilus.schlegeli" "Osteochilus.vittatus" "Oxyeleotris.marmorata" "Pangasianodon.hypophthalmus" "Pangasius.djambal" "Pangasius.larnaudii" "Pangasius.macronema" "Pangasius.spp" "Pao.leiurus" "Parachela.siamensis" "Paralaubuca.typus" "Parambassis.wolffii" "Phalacronotus.apogon" "Phalacronotus.bleekeri" "Phalacronotus.micronemus" "Polynemus.dubius" "Poropuntius.deauratus" "Pristolepis.fasciata" "Probarbus.jullieni" "Probarbus.labeamajor" "Puntioplites.proctozysron" "Puntius.brevis" "Rasbora.tornieri" "Syncrossus.helodes" "Systomus.rubripinnis" "Thynnichthys.thynnoides" "Toxotes.microlepis" "Trichopodus.microlepis" "Trichopodus.pectoralis" "Trichopodus.trichopterus" "Wallago.attu" "Xenentodon.cancila" "Yasuhikotakia.modesta"
"1" "bb" "2012-01-01" "Rec" "wet" 0 0 0 0 40.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1350 0 0 0 0 0 0 0 0 0 0 0 330 0 0 0 0 0 0 0 0 0 0 4.8 0 7.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4 300 0 0 0 0 0 0 0 0 0 0 0
"2" "bb" "2012-01-08" "Rec" "wet" 0 0 144.749952467143 0 18.5374149657143 0 0 1.42857142857143 12.7374149657143 1.05714285714286 0 0 7.98095238142857 0 0 0 0 0 0 0 0 0 0 69.5108460757143 3.33333333285714 1037.81457957143 649.454916014286 0 0 0 0 0 0 0 0 0 0 636.205773042857 85.7142857142857 160.1063492 0 0 21.0380952375714 0 0 0 113.678088898571 0 12.6666666675714 0 23.43537415 0 0 0 540.241206457143 0 0 0 0 23.5306122485714 0 0 0 0 0 6.05442176857143 335.69047619 0 0 0 0 0 237.730158732857 0 47.7777777714286 0 0 0
"3" "bb" "2012-01-15" "Rec" "wet" 0 0 31.7904798514286 0 3.33333333285714 0 0 1.42857142857143 1.66666666714286 0 0 0 11.4285714285714 0 0 0 0 0 0 0 0 0 0 22.6102488905714 0 1097.47888127143 614.590512457143 0 0 0 0 0 0 0 0 0 0 316.175456985714 8.57142857142857 15.9387755142857 0 0 71.2857142857143 0 0 0 124.598848674286 0 28.9748917742857 0 38.3484848485714 0 0 0 759.244263235714 14.2857142857143 8.57142857142857 0 0 10.5458768871429 0 0 0 0 0 1.66666666714286 240.196217228571 14.2857142857143 8.57142857142857 0 0 0 69.5510204142857 28.5714285714286 427.134359485714 0 0 0
"4" "bb" "2012-01-22" "Rec" "wet" 0.142857142857143 0 64.5927522954286 0 10 0 1.42857142857143 18.3129251757143 3.66666666671429 0 0 0 8.33333333328572 0 0 0 0 0 0 0 0 0 0 1.57142857142857 0 452.326502085714 374.420483228571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56.4557823085714 14.2280943685714 0 0 160.868736495714 0 48.9183673471429 0 7.42857142857143 0 0 0 169.783450977143 0 0 0 0 16.9024072154286 0 0 0 0 0 10.5714285714286 0 0 0 0 0 0 447.423939042857 11.7142857142857 334.795484685714 0 0 0
"5" "bb" "2012-01-29" "Rec" "wet" 0 0 17.9046196167143 0 0 0 0 1.19047619042857 2.14285714285714 0 0 0 17.4047619048571 0 0 0 0 0 0 0 0 0 0 0 0 494.621120471429 312.74259292 0 0 0 0 0 0 0 0 0 0 411.705333414286 0 295.575834557143 0 0 40.1666666671429 1.79505598271429 0 0 31.8813879428571 0 9.89285714242857 0 0.857142857142857 0 0 0 89.6103896142857 47.6190476142857 0 0 0 2.21356835428571 0 0 0 0 0 0 20.2380952428571 2.38095238142857 0 0 0 0 541.354285828571 20.8809523814286 128.6524284 0 0 0
"6" "bb" "2012-02-05" "Rec" "wet" 0 0 91.2279358952857 0 0 0 0 0 1.05952380957143 0 0 0 0.678571428571429 0 0 0 0 0 0 0 0 0 0 0 0 73.8367347 256.697278914286 0 0 0 0 0 0 0 0 0 0 138.592154414286 0 75.1224489857143 0 0 116.523809524286 5.43936719928571 0 0 190.457826528571 0.904761904714286 1.42857142857143 0 0.380952381 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1243.70770667143 3.05952380957143 292.724384345714 0 0 0
"7" "bb" "2012-02-12" "Rec" "wet" 0 0 136.850076023286 0 0 0 0 0 1.36785714285714 0 0 0 1.36785714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34.2857142857143 115.714285714286 0 0 0 72.2785714285714 90.2304666038572 0 0 165.744339998571 1.13717128642857 1.96428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 202.001990042857 0 0 0 0 0 1104.32683911429 0 801.626023242857 0 0 0
"8" "bb" "2012-02-19" "Rec" "dry" 0 0 49.3262467442857 0 0 0 0 0 4.53813729142857 0 0 0 6.56145350857143 0 0 0 0 64.0476190428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 275.064130171429 0 2.51256281428571 0 0 118.823870321429 14.1788167321429 0 0 364.131142814286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 758.924774828571 1.46795560285714 462.124973185714 0 0 0
"9" "bb" "2012-02-26" "Rec" "dry" 0 0 72.3814433042857 0 0 0 0 35 4.77281541485714 0 0 0 4.68581246928571 0 0 0 0 0 0 0 0 0 0 0 0 105.428571428571 0 0 0 0 0 0 0 0 0 0 0 95.4285714285714 0 0 0 0 106.471821305714 23.7857142857143 0 0 69.75 6 1.28571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94.4285714285714 0 0 0 0 0 284.25 44.3048600888571 208.535714285714 0 0 0
"10" "bb" "2012-03-04" "Rec" "dry" 17.1428571428571 0 141.418624314286 0 0 0 0 18.0952380957143 2.75 0 0 0 1.32142857142857 0 0 0 0 39.2857142857143 0 0 0 0 0 0 0 130.642857142857 0 0 0 0 0 0 0 0 0 0 0 149.571428571429 0 118.771428571429 0 0 59.2339028671429 1.42857142857143 0 0 20.1428571428571 5.15270526814286 2.16563834842857 0 0.75 0 0 0 0 0 65.9285714285714 0 0 2.5 0 0 2.5 0 0 27.7857142857143 45.9285714285714 0 0 0 0 0 643.955306071429 38.7244897957143 481.451846028571 0 0 0
"11" "bb" "2012-03-11" "Rec" "dry" 42.5714285714286 0 349.811585271429 0 7.07142857142857 0 0 0 3.85714285714286 0 0.821428571428571 0 1.17857142857143 0 0 0 0 53.4035714285714 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 23.1428571428571 0 65.7142857142857 0 0 14.9464285714286 0 0 0 22.6069286285714 3.54285714285714 0 0 1.41071428571429 0 0 0 0 0 22.4 0 0 2.42857142857143 0 0 22.4 0 0 66.8214285714286 30 0 0 0 0 0 979.215004514286 0 450.057469257143 0 0 0
"12" "bb" "2012-03-18" "Rec" "dry" 0 0 110.704068457143 0 6.53177257571429 0 0 0.864055299571429 5.053370051 0 8.96105417557143 0 0.864055299571429 0 0 0 0 39.2857142857143 0 0 0 0 0 8.47329134857143 0 40.8571428571429 0 0 0 0 0 0 0 0.714285714285714 0 0 0 63.3333333328571 0 0 0 0 11.9495067347143 4.46229361857143 0 0 10.23114681 0 0.864055299571429 0 0.487804878 0 0 0 0 0 2.57142857142857 0 0 0 0 0 31.3571428571429 0 0 69.7857142857143 52.5714285714286 0 0 0 0 0 745.489526785714 0 821.663607042857 0 0 0
"13" "bb" "2012-03-25" "Rec" "dry" 0 0 82.8486701114286 0 5.85714285714286 0 0 0 1.07142857142857 0 1.57142857142857 0 0.142857142857143 0 0 0 0 20.9047619042857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 5.92857142857143 0 0 26.7150715071429 4.28571428571429 0.642857142857143 0 0.714285714285714 0 0 0 0 0 103.333333328571 0 0 0 0 0 5.90476190428571 0 0 97.0476190428571 0 0 0 0 0 0 1061.32280198571 0 1051.09875615714 0 0 0
"14" "bb" "2012-04-01" "Low" "dry" 0 0 192.372071951429 0 1.85714285714286 0 0 0 1.85714285714286 0 1.85714285714286 0 0 0 0 0 0 0 0 0 0 0 0 1.71428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42.8571428571429 2.83728188428571 0 0 7.28571428571429 0 5.71428571428571 0 1.42857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 739.798103528571 0 1109.95437652857 0 0 0
"15" "bb" "2012-04-08" "Low" "dry" 0 0 32.5252198871429 0 12.5115646257143 0 0 0 8.57142857142857 0 8.52395740828571 0 0 0 0 0 107.142857142857 0 0 0 0 0 0 1.71428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27.6923076857143 60.77944598 4.50450450428571 0 0 100.444734382857 0 16.1714285714286 0 1.48571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47.6482401618571 814.966873714286 0 0 0 0 0 1013.26251158571 0 2469.13555542857 0 0 0
"17" "bb" "2012-04-22" "Low" "dry" 0 0 32.67745318 0 10.0452528828571 0 0 0 12.1164021167143 0 0 0 0.687830687857143 0 0 0 0 144.761904757143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77.5951468342857 4.07497962571429 0 0 84.1735017971429 0 97.1428571428571 0 0 0 0 0 0 0 35.2857142857143 0 0 0 0 0 27.1428571428571 0 0 49.7142857142857 0 0 0 0 0 0 1116.45285352857 0 1239.16540335714 0 0 0
"18" "bb" "2012-04-29" "Low" "dry" 0 0 51.8542901142857 0 5.5 0 0 0 7.50340136042857 0 7.74149659857143 0 0 0 0 0 0 150.571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151.715040711429 0 0 0 18.3992640285714 0 44 0 0 0 0 0 0 0 17.1428571428571 0 0 0 0 0 0 0 0 69.7142857142857 0 0 0 0 0 0 553.937090028571 0 936.988871814286 0 0 0
"19" "bb" "2012-05-06" "Low" "dry" 0 0 2.14285714285714 0 31.8957692671429 0 0 0 11.5493197275714 0 6.51092628885714 0 1.36054421771429 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84.8047653342857 43.2912822675714 1.21428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84.5714285714286 0 402.653020041429 0 0 0 0 247.714285714286 0 719.185347385714 0 0 0
"20" "bb" "2012-05-13" "Low" "dry" 0 0 12.906462585 0 19.5034013607143 0 0 0 13.0170068031429 0 0 0 3.59013605442857 0 0 0 0 0 0 0 0 0 0 2.31292517 0 0 0 0 0 0 0 0 0 0 0 0 0 36.8571428571429 0 0 0 230.36976959 15.99489796 31.30952381 0 0 161.190476185714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 327.619047571429 700.387967042857 0 0 0 0 255 4.05612244885714 1057.79536881429 0 0 0
"21" "bb" "2012-05-20" "Low" "dry" 0 0 4.17462456728571 0 14.9070722624286 0 0 0 9.33050956228571 0 1.90476190428571 2.15306122442857 0 0 0 0 0 0 0 0 0 0 0 1.90476190428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 330.673916328571 12.8514953152857 7.71428571428571 0 0 28.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.90476190428571 0 0 0 0 0 0 245.928571428571 3.39115646257143 1052.27601762857 0 0 0
